id,original,segmented,tagged
1,د افغانستان د کرکټ بورډ سرپرست مشر میرویس اشرف وايي چې د کرکټ د نړیوالې شورا د غوښتنو او وړاندیزونو په پوره کولو یې کار پیل کړی دی او ژر به یې دغې شورا ته وسپاري,دBافغانستانBدBکرکټBبورډBسرپرستBمشرBمیرویسSاشرفBواييBچېBدBکرکټBدBنړیوالېBشوراBدBغوښتنوBاوBوړاندیزونوBپهBپورهBکولوBیېBکارBپیلBکړیBدیBاوBژرBبهBیېBدغېBشوراBتهBوسپاري,"[[""د"", ""IN""], [""افغانستان"", ""NN.P""], [""د"", ""IN""], [""کرکټ"", ""NN.C.1.M""], [""بورډ"", ""NN.C.1.M""], [""سرپرست"", ""NN.C.1.M""], [""مشر"", ""JJ""], [""میرویس اشرف"", ""NN.P""], [""وايي"", ""VB.P""], [""چې"", ""CC""], [""د"", ""IN""], [""کرکټ"", ""NN.C.1.M""], [""د"", ""IN""], [""نړیوالې"", ""JJ""], [""شورا"", ""NN.C.1.F""], [""د"", ""IN""], [""غوښتنو"", ""NN.C.2""], [""او"", ""CC""], [""وړاندیزونو"", ""NN.C.2""], [""په"", ""IN""], [""پوره"", ""JJ""], [""کولو"", ""VB.G""], [""یې"", ""PR.C""], [""کار"", ""NN.C.1.M""], [""پیل"", ""JJ""], [""کړی"", ""VB.DX""], [""دی"", ""VB.PC""], [""او"", ""CC""], [""ژر"", ""RB""], [""به"", ""BA""], [""یې"", ""PR.C""], [""دغې"", ""DT""], [""شورا"", ""NN.C.1.F""], [""ته"", ""PT""], [""وسپاري"", ""VB.H""]]"
2,"طالبان لا د خپل مشرتابه د ټاکلو لپاره هم کوم مشخص او لیکل شوی قانون نه دی جوړ کړی ، چې څوک ، څنګه او په کومو شرایطو سره باید امیر وټاکل شي","طالبانBلاBدBخپلBمشرتابهBدBټاکلوBلپارهBهمBکومBمشخصBاوBلیکلBشویBقانونBنهBدیBجوړBکړیB،BچېBڅوکB،BڅنګهBاوBپهBکوموBشرایطوBسرهBبایدBامیرBوټاکلBشي","[[""طالبان"",""NN.C.2""],[""لا"",""RB""],[""د"",""IN""],[""خپل"",""JJ""],[""مشرتابه"",""NN.C.1.F""],[""د"",""IN""],[""ټاکلو"",""VB.G""],[""لپاره"",""PT""],[""هم"",""RB""],[""کوم"",""RB""],[""مشخص"",""JJ""],[""او"",""CC""],[""لیکل"",""VB.INF""],[""شوی"",""VB.DX""],[""قانون"",""NN.C.1.M""],[""نه"",""NG""],[""دی"",""VB.PC""],[""جوړ"",""JJ""],[""کړی"",""VB.DX""],[""،"",""PU""],[""چې"",""CC""],[""څوک"",""PR.W""],[""،"",""PU""],[""څنګه"",""RB""],[""او"",""CC""],[""په"",""IN""],[""کومو"",""PR.W""],[""شرایطو"",""NN.C.2""],[""سره"",""PT""],[""باید"",""JJ""],[""امیر"",""JJ""],[""وټاکل"",""VB.D""],[""شي"",""VB.H""]]"
3,له ستونزو سره سره د افغانستان اوسنی اقتصادي وضعیت د دوو لسیزو په پرتله ډېر ښه و,لهBستونزوBسرهSسرهBدBافغانستانBاوسنیBاقتصاديBوضعیتBدBدووBلسیزوBپهBپرتلهBډېرBښهBو,"[[""له"",""IN""],[""ستونزو"",""NN.C.2""],[""سره سره"",""RB""],[""د"",""IN""],[""افغانستان"",""NN.P""],[""اوسنی"",""JJ""],[""اقتصادي"",""JJ""],[""وضعیت"",""NN.C.1.M""],[""د"",""IN""],[""دوو"",""NB""],[""لسیزو"",""NN.C.2""],[""په"",""IN""],[""پرتله"",""RB""],[""ډېر"",""JJ""],[""ښه"",""JJ""],[""و"",""VB.DC""]]"
4,چې امریکايي ځواکونو افغانستان ته د ترهګرو د ځپلو او نشه یي توکو د له منځه وړلو لپاره راغلې وه خو د دوی تر وتلو وروسته به یو ځل بیا یاد هېواد ویجاړ شي او ترهګرې ډلې به یو ځل بیا خپل فعالیتونه پیل کړي,چېBامریکاييBځواکونوBافغانستانBتهBدBترهګروBدBځپلوBاوBنشهSیيBتوکوBدBلهSمنځهBوړلوBلپارهBراغلېBوهBخوBدBدویBترBوتلوBوروستهBبهBیوBځلBبیاBیادBهېوادBویجاړBشيBاوBترهګرېBډلېBبهBیوBځلBبیاBخپلBفعالیتونهBپیلBکړي,"[[""چې"",""CC""],[""امریکايي"",""JJ""],[""ځواکونو"",""NN.C.2""],[""افغانستان"",""NN.P""],[""ته"",""PT""],[""د"",""IN""],[""ترهګرو"",""NN.C.2""],[""د"",""IN""],[""ځپلو"",""VB.G""],[""او"",""CC""],[""نشه یي"",""JJ""],[""توکو"",""NN.C.2""],[""د"",""IN""],[""له منځه"",""RB""],[""وړلو"",""VB.G""],[""لپاره"",""PT""],[""راغلې"",""VB.N""],[""وه"",""VB.DC""],[""خو"",""CC""],[""د"",""IN""],[""دوی"",""PR.P.iii""],[""تر"",""IN""],[""وتلو"",""VB.G""],[""وروسته"",""RB""],[""به"",""BA""],[""یو"",""DT""],[""ځل"",""NN.C.1.M""],[""بیا"",""RB""],[""یاد"",""JJ""],[""هېواد"",""NN.C.1.M""],[""ویجاړ"",""JJ""],[""شي"",""VB.H""],[""او"",""CC""],[""ترهګرې"",""JJ""],[""ډلې"",""NN.C.1.F""],[""به"",""BA""],[""یو"",""DT""],[""ځل"",""NN.C.1.M""],[""بیا"",""RB""],[""خپل"",""JJ""],[""فعالیتونه"",""NN.C.2""],[""پیل"",""JJ""],[""کړي"",""VB.DX""]]"
5,هغوی پوښتنې کولې او مولوي صاحب يې ځوابونه ويل,هغویBپوښتنېBکولېBاوBمولويSصاحبBيېBځوابونهBويل,"[[""هغوی"",""PR.P.iii""],[""پوښتنې"",""NN.C.2""],[""کولې"",""VB.DX""],[""او"",""CC""],[""مولوي صاحب"",""NN.C.1.M""],[""يې"",""PR.C""],[""ځوابونه"",""NN.C.2""],[""ويل"",""VB.INF""]]"
6,"نو ډاکټران تل وايي چې هر هغه کس چې ژور خپګان لري ، باید په دې پوه وي چې ژور خپګان د دوی ګناه نه ده","نوBډاکټرانBتلBواييBچېBهرBهغهBکسBچېBژورBخپګانBلريB،BبایدBپهBدېBپوهBويBچېBژورBخپګانBدBدویBګناهBنهBده","[[""نو"",""CC""],[""ډاکټران"",""NN.C.2""],[""تل"",""RB""],[""وايي"",""VB.P""],[""چې"",""CC""],[""هر"",""JJ""],[""هغه"",""DT""],[""کس"",""NN.C.1.M""],[""چې"",""CC""],[""ژور"",""JJ""],[""خپګان"",""NN.C.1.M""],[""لري"",""VB.P""],[""،"",""PU""],[""باید"",""JJ""],[""په"",""IN""],[""دې"",""DT""],[""پوه"",""JJ""],[""وي"",""VB.DC""],[""چې"",""CC""],[""ژور"",""JJ""],[""خپګان"",""NN.C.1.M""],[""د"",""IN""],[""دوی"",""PR.P.iii""],[""ګناه"",""NN.C.1.F""],[""نه"",""NG""],[""ده"",""VB.PC""]]"
7,۱۲ زره افغان کډوال به د نوي میلادي کال پیل په هوټلونو کې د دایمي استوګنځایونو د ترلاسه کولو په هیله تېروي,۱۲BزرهBافغانBکډوالBبهBدBنويBمیلاديBکالBپیلBپهBهوټلونوBکېBدBدایميBاستوګنځایونوBدBترلاسهBکولوBپهBهیلهBتېروي,"[[""۱۲"",""NB""],[""زره"",""NB""],[""افغان"",""JJ""],[""کډوال"",""NN.C.2""],[""به"",""BA""],[""د"",""IN""],[""نوي"",""JJ""],[""میلادي"",""JJ""],[""کال"",""NN.C.1.M""],[""پیل"",""NN.C.1.M""],[""په"",""IN""],[""هوټلونو"",""NN.C.2""],[""کې"",""PT""],[""د"",""IN""],[""دایمي"",""JJ""],[""استوګنځایونو"",""NN.C.2""],[""د"",""IN""],[""ترلاسه"",""JJ""],[""کولو"",""VB.G""],[""په"",""IN""],[""هیله"",""NN.C.1.F""],[""تېروي"",""VB.P""]]"
8,هغه وايي د دغه فارم تر جوړېدو وروسته د هغو سيمو کروندګرو د باغونو جوړېدو ته مخه کړې چې پخوا يې ځمکه کې کوکنار کرل او د باغونو جوړېدو په وجه ځوانانو ته کار موندنه هم شوې ده,هغهBواييBدBدغهBفارمBترBجوړېدوBوروستهBدBهغوBسيموBکروندګروBدBباغونوBجوړېدوBتهBمخهBکړېBچېBپخواBيېBځمکهBکېBکوکنارBکرلBاوBدBباغونوBجوړېدوBپهBوجهBځوانانوBتهBکارBموندنهBهمBشوېBده,"[[""هغه"",""PR.P.iii""],[""وايي"",""VB.P""],[""د"",""IN""],[""دغه"",""DT""],[""فارم"",""NN.C.1.M""],[""تر"",""IN""],[""جوړېدو"",""VB.G""],[""وروسته"",""RB""],[""د"",""IN""],[""هغو"",""DT""],[""سيمو"",""NN.C.2""],[""کروندګرو"",""NN.C.2""],[""د"",""IN""],[""باغونو"",""NN.C.2""],[""جوړېدو"",""VB.G""],[""ته"",""PT""],[""مخه"",""NN.C.1.F""],[""کړې"",""VB.DX""],[""چې"",""CC""],[""پخوا"",""RB""],[""يې"",""PR.C""],[""ځمکه"",""NN.C.1.F""],[""کې"",""PT""],[""کوکنار"",""NN.C.2""],[""کرل"",""VB.INF""],[""او"",""CC""],[""د"",""IN""],[""باغونو"",""NN.C.2""],[""جوړېدو"",""VB.G""],[""په"",""IN""],[""وجه"",""NN.C.1.F""],[""ځوانانو"",""NN.C.2""],[""ته"",""PT""],[""کار"",""NN.C.1.M""],[""موندنه"",""NN.C.1.F""],[""هم"",""RB""],[""شوې"",""VB.DX""],[""ده"",""VB.PC""]]"
9,هغه ویلي چې ملګري یې هره ګړۍ دې ته اماده دي چې پاکستاني پوځیان په نښه او د خپلو خلکو غچ ترې واخلي,هغهBویليBچېBملګريBیېBهرهBګړۍBدېBتهBامادهBديBچېBپاکستانيBپوځیانBپهBنښهBاوBدBخپلوBخلکوBغچBترېBواخلي,"[[""هغه"",""PR.P.iii""],[""ویلي"",""VB.D""],[""چې"",""CC""],[""ملګري"",""NN.C.2""],[""یې"",""PR.C""],[""هره"",""JJ""],[""ګړۍ"",""NN.C.1.M""],[""دې"",""DT""],[""ته"",""PT""],[""اماده"",""JJ""],[""دي"",""VB.PC""],[""چې"",""CC""],[""پاکستاني"",""JJ""],[""پوځیان"",""NN.C.2""],[""په"",""IN""],[""نښه"",""NN.C.1.F""],[""او"",""CC""],[""د"",""IN""],[""خپلو"",""JJ""],[""خلکو"",""NN.C.2""],[""غچ"",""NN.C.1.M""],[""ترې"",""PR.P.iii""],[""واخلي"",""VB.H""]]"
10,"د نویو حکمونو له مخې ، د ګوانتانامو د ۳۹ بندیانو له ډلې څخه ۱۲ بندیان د خوشي کیدو لپاره پر شرایطو برابر ښودل شوي دي","دBنویوBحکمونوBلهSمخېB،BدBګوانتاناموBدB۳۹BبندیانوBلهBډلېBڅخهB۱۲BبندیانBدBخوشيBکیدوBلپارهBپرBشرایطوBبرابرBښودلBشويBدي","[[""د"", ""IN""], [""نویو"", ""JJ""], [""حکمونو"", ""NN.C.2""], [""له مخې"", ""RB""], [""،"", ""PU""], [""د"", ""IN""], [""ګوانتانامو"", ""NN.P""], [""د"", ""IN""], [""۳۹"", ""NB""], [""بندیانو"", ""NN.C.2""], [""له"", ""IN""], [""ډلې"", ""NN.C.1.F""], [""څخه"", ""PT""], [""۱۲"", ""NB""], [""بندیان"", ""NN.C.2""], [""د"", ""IN""], [""خوشي"", ""JJ""], [""کیدو"", ""VB.DX""], [""لپاره"", ""PT""], [""پر"", ""IN""], [""شرایطو"", ""NN.C.2""], [""برابر"", ""JJ""], [""ښودل"", ""VB.INF""], [""شوي"", ""VB.DX""], [""دي"", ""VB.PC""]]"
